,title
150,"— Вы же клялись, что не украдете пенсии и не будете менять конституцию? 
— Я по просьбе простого народа обнулил свои клятвы.
--------
На текиле по-русски написано, что открытую бутылку нельзя хранить больше шестидесяти дней... Наивные мексиканцы!"
151,"Кажется, вот-вот на заседании Госдумы выйдут Машков и Охлобыстин и слезно попросят ввести крепостное право. 
После чего немедленно явится вождь и скажет свое: 
— Я - не против, если это поддержит народ. Только тогда я - за. 
И зал взорвется аплодисментами.
--------
Давайте обнулим полет Терешковой! Пусть летит заново!"
152,"— Мы провели тесты и выявили в России 28 больных коронавирусом 
— А сколько тестов провели? 
— 28
--------
Вообще-то, мы хотели удвоения ВВП... А не его обнуления!"
153,"Кто бы мог подумать, что в ХХI веке мир опять скатится в средневековье: Америка закрыта для европейцев, в самой Европе бродит чума, а на Руси-матушке - распри между Киевским и Московскими княжествами, опричнина и бояре, славящие царя-батюшку...
--------
Петр первый, Александр первый, Николай второй… Владимир нулевой."
154,"— Дорогой, я нашла два способа похудеть: первый - пройти пешком от Тулы до Москвы. 
— Да ты что, это же далеко! А второй какой? 
— Второй - каждый день по два часа cекcа! 
— Собирайся в дорогу! Тут до Москвы — рукой подать...
--------
Купила бабка в магазине галоши, а коробку ей не дали. Нести не в чем. Заходит она в аптеку и говорит провизору: 
— Доченька, дай мне пожалуйста какую-нибудь коробочку. 
Та без всякой задней мысли дает ей коробку, а на ней написано ""100 презервативов"". 
Едет бабка в автобусе с коробкой под мышкой. Просто ошалевший пассажир спрашивает: 
— А на долго ли вам бабушка этой коробочки хватает?! 
— Ой милок, да как наш дед шоркает — хоть бы на неделю хватило!"
155,"В городок приехал богатый турист. 
Оставив в залог $100 хозяину гостиницы, он поднялся посмотреть комнаты отеля. . . 
Хозяин гостиницы, не медля ни минуты, берёт купюру и бежит с ней к мяснику отдать долг. 
Мясник, с купюрой в руках, бежит к фермеру и отдаёт ему долг за говядину. 
Фермер отдает долг владельцу автомастерской. 
Владелец мастерской направляется в местный магазин и отдаёт долг за продукты. 
Хозяин магазина бегом к местной девочке по сопровождению, которая из-за кризиса ""обслуживала"" его в долг. . . Девочка сразу бежит к хозяину гостиницы и отдаёт ему долг за комнаты, которые она снимала для клиентов. 
В этот момент обратно спускается турист и говорит, что не нашёл подходящей комнаты, забирает залог и уезжает. . . 
Никто ничего не получил - но весь городок теперь живёт без долгов и с оптимизмом смотрит в будущее.
--------
Заснул мужик. Снится ему, что он помер и просит у св. Петра, чтобы то дал ему вторую жизнь. Петр: 
— Могу дать, но только будешь курицей. 
Мужик подумал и согласился. Ходит по своему двору, зерна клюет, кудахтает, на родню смотрит. Вдруг почувствовал что-то. 
Пошел в курятник и снес яйцо. Подумал: ""какое приятное ощущение. Давай еще раз попробую."" 
Только снес еще яйцо и почувствовал оплеуху и крик жены: 
— Просыпайся, гад! Всю кровать обосрал!"
156,"Зайцы всё время прыгают, и живут всего 8 лет, собаки всё время бегают и живут около 15 лет, черепахи ни хрена не делают и живут больше 150 лет... Поэтому идите-ка вы все на хрен со своими делами и заботами!!!
--------
Посадили чукчу в тюрьму, в камере еще один мужик. 
Мужик: 
- За что посадили? 
- Белого медведя убил. Шесть лет дали. А ты за что? 
- Жену убил. Восемь лет... 
Чукча (удивленно): 
- Восемь лет однако... За что? Там меху-то с ладошку!"
157,"Муж купил ботинки. Пришел домой, а никто не замечает. Пошел в ванну. 
Выходит голый в новых ботинках. 
- Папа, что это у тебя висит? - спрашивает маленькая дочка. 
- А это, дочка, указатель на ботинки. 
Жена: 
- Лучше бы ты шляпу купил!
--------
Встретились как-то три пилота: американский(А), германский(Г) и русский(Р). 
Ну как положено при встрече в теплой обстановке сидят, выпивают и хвастаются своей авиацией. 
Г: Вот у нас есть десантный Мессершмидт - танковая дивизия входит! 
РиА: Ну, выпьем за германскую авиацию! 
А: А вот в наш транспортный Боинг спокойно эскадра авианосцев входит!! 
РиГ: Ну, выпьем за американскую авиацию! 
Р: Возвращаемся как-то мы с полетов на своем Руслане... Слышу - из салона какой-то посторонний звук. Ну и говорю своему двенадцатому пилоту - сгоняй, посмотри, что там такое. Ну он прыгнул на мотоцикл и умчался. Час нету, два нету - приезжает. ""Ну что там?"" ""Да иллюминатор не закрыли - какие-то Боинг с Мессером залетели и вокруг лампочки жужжат..."""
158,"Горит больница. Долго горит. Но все-таки пожарные справились. Подходит командир пожарной бригады к главврачу и говорит: 
— Уж извиняйте. Семерых мы откачали, а вот остальных не смогли. Врач падает в обморок. Его подняли спрашивают: чего мол падаешь. У того истерика: 
— Вы ж, придурки, морг тушили!
--------
Приходит мужик поздно вечером домой. Пьяный и помятый. Жена его 
встречает, улыбается вся: 
- Привет, мой Супермэн. 
- Где ты был, мой Супермэн? 
- Пойдем, накормлю тебя ужином, мой Супермэн... 
- Пошли спать, мой Супермэн. 
Муж не выдерживает и спрашивает: 
- А с чего ты меня Супермэном стала называть? 
- А только супермэны трусы поверх брюк носят!!!"
159,"Экзамен по физике. Профессор с бодунища решил завалить всех студентов. Заходит первый студент, профессор его спрашивает: 
— Вот вы едете в автобусе, вам жарко, что вы сделаете? 
— Открою форточку. 
— Правильно. А теперь просчитайте изменения в аэродинамике автобуса, вызванные открытием форточки. 
— Эээ... . 
— Идите, два. Таким же образом валит еще нескольких студентов. Заходит студентка. 
— Девушка, представьте, вот едите вы в автобусе, вам жарко, что вы сделаете? 
— Я? Ну пожалуй кофточку сниму. 
— Нет, вы не поняли, вам очень жарко. 
— Ну, тогда еще и блузку сниму. 
— Ну, нет, СОВСЕМ жарко! 
— Ну, юбку сниму. 
— А не боишься? 
— Да пусть меня весь автобус вы@б@т, но форточку я не открою!!!
--------
Муж - жене: 
- Дорогая, раскрой секрет, Как тебе удается быт такой спокойной после того, как я наору на тебя? 
- Я просто чищу унитаз. 
- А как же это тебя может успокаивать? 
- А я чищу его твоей зубной щеткой!"
160,"Мужик с девушкой приходят после свидания к нему домой. Он достает ключи, 
а девушка ему говорит: 
— Ты знаешь, я смотрю, как мужчина открывает дверь, и определяю, подходим 
ли мы друг другу... Если он грубо втыкает ключ в дверь — он грубый 
любовник, и он не для меня, а если он роняет ключи и не может найти 
замочную скважину, он неопытный любовник и он тоже не для меня... А 
вот как ты открываешь дверь, милый? 
Мужик: 
— Ну, сначала я лизну замочную скважину..
--------
1 сентября. Урок русского языка. Вовочка спрашивает у молоденькой учительницы: 
— Марь Иванна, а по*уй пишется слитно или раздельно? 
— Вовочка, немедленно вон из класса! И чтоб до конца четверти я тебя не видела на своих уроках! 
И Вовочка не ходил на русский. Прошел месяц, звонят ему из школы, говорят, на русский ходить уже можно. Приходит он на урок, а там вместо Марьи Ивановны, которая ушла в декрет, старый еврей Арон Моисеевич. Решил Вовочка и с его уроков слинять, задал тот же вопрос: 
— Арон Моисеевич, а по*уй пишется слитно или раздельно? 
— Видите ли, молодой человек? Если брать во внимание глубину реки Иордан, то раздельно, а если брать во внимание мое отношение к твоей глупой выходке, то слитно!"
161,"— На прошлое Рождество гадала. Капала воск от свечи в воду. Получившаяся фигура очень напоминала мужской член. Обрадовалась, думала — мужика себе хорошего найду... нет, просто год был х@евый. .
--------
Занимаются любовью хаккер и эпелиптичка, тут у нее приступ эпилепсии ну а он думает о как ей хорошо, ну он закончил, а она все еще в приступе ну он говорит эй ты чего а она ноль внимания — у нее приступ. Тогда он звонит 03 и говорит у меня тут проблема , а его спршивают в чем дело на что он отвечает Да по моему орг@зм завис..."
162,"Гонка вооружений — это когда ты купил дрель, а сосед, с@ка, перфоратор.
--------
Разговаривают две подруги по телефону: 
— Мой вчера пришел вечером пьяный, наорал на меня, наорал на детей 
и ушел к шлюхам. У тебя его нет?"
163,"Болтаю как-то с женой... 
— Интересно, а девочки тоже меряются перцами? 
— Девочки меряются перцами мальчиков!
--------
Валентина Матвиенко заявила, что Путин поднял Россию с колен. В какую позицию Путин поставил Россию, госпожа Матвиенко не уточнила."
164,"Обнулим срок правления Путина. 
Обнулим кредиты и ипотеку россиян. 
Обнулим цену на жилье. 
Обнулим цену на образование. 
Обнулим цену на медицинские услуги. 
Обнулим прибыль олигархов. 
Обнулим коррупционеров. 
Обнулим продажных судей и полицаев. 
Ну, а что мелочиться? 
Обнулять — так все!
--------
Он изучал бензопилу в магазине с таким выражением лица, что охранник вызвал полицию. Так, на всякий случай"
165,"Это не Путина сделали пожизненным Верховным Правителем России, а весь российский народ получил пожизненный срок без права обжалования.
--------
— ... и я предлагаю дать возможность снова избираться нашему дорогому Леониду Ильичу, ой, оговорилась, простите старушку, Владимиру Владимировичу ..."
166,"Предлагаю поправку в Конституцию : ""Запустить Терешкову в космос на неограниченное количество сроков""...
--------
— Что-то староватая машина и ржавая, а пробег-то какой? 
— Нет пробега. Он обнулен."
167,"Следующее заседание Государственной Думы будет посвящено обнулению трудового стажа всех работающих пенсионеров
--------
— Я дарил ей любовь. 
— А она? 
— Она ее передаривала."
168,"Саудовская Аравия объявила ценовую войну России, резко увеличив добычу нефти и снизив ее стоимость. Правительство России, в ответ, пригрозило резко поднять цены на бензин для своего населения. Воюем до конца!
--------
Если запрещены мероприятия, где больше 5 тысяч человек, то как же проводить голосование за изменение в Конституции? Или голосовать будет только 5 тысяч?"
169,"На дискотеке, парень девушке: 
— танцуешь? 
— танцую, пою, стихи читаю, кошек люблю... 
— ты че плетешь? 
— плету, вышиваю, спицами вяжу..... 
— гонишь, что ли? 
— гоню самогон, брагу, нефть иногда... 
— ну ты даешь! 
— даю, в рот беру, зад подставляю... 
— да че ты лечишь? 
— геморрой, гайморит, cекcуальные расстройства... 
— ты че? Тупишь? 
— туплю, острю, точу ножи-ножницы, бритвы правлю... 
— че??? — б%%%ь, замуж я хочу, че не понятно что ли?!
--------
Едут в поезде еврей и хохол. Хохол достает из торбы бутерброд на весь 
батон, намазанный маслом, колбасы на нем куча нарезанной, и начинает 
есть. А еврей из пакетика рыбку сушеную достал и тоже грызет. Хохол 
ему: 
— Че ж вы евреи, все такие умные и богатые, а жрете рыбу? 
— А мы потому ее едим, что в ней много фосфора. А фосфор полезен для 
мозга, от него мы и умные такие. 
— Че правда? 
— А давай поменяемся, поешь рыбки и сам убедишься. 
Холох отдал свой бутер, сидит рыбой хрустит, а еврей колбасу с маслом 
рубает, довольный. 
Хохол подозрительно: 
— Слышь, еврей, чето ты меня по-моему на*бал! 
Еврей: 
— О, вишь, уже умнеть начал!"
170,"​​Адам с Евой резвятся в саду, спускается к ним Бог и говорит: 
- Дети мои, у меня есть вам два подарка, только вы должны решить кому 
какой.. Первый подарок - писать стоя.. 
Ну Адам громче всех орал и бился головой об деревья, что он хочет писать стоя, что всю жизнь мечтал. Ева ему уступила.. И Адам побежал по саду, радовался, прыгал, кричал, ссал на все подряд! На деревья, на цветы, на каждую букашку и просто на землю! Ева встала рядом с Богом.. В молчании смотрели они вместе на это безумие.. И тут Ева спросила: 
- Боже мой, а второй-то подарок какой?.. 
И молвил Бог: 
- Мозги, Ева.. Мозги..! Но мозги, Ева, придется тоже отдать Адаму, иначе 
он тут все обоссыт!
--------
Мужик купил на ярмарке двух гусей, ведро, наковальню, а потом еще двух кур по дешевке. Идет домой, а навстречу женщина: 
— Подскажите, как к деревне пройти? 
— Идите со мной, я покажу. Только давайте через лес, так ближе. 
— Ну конечно, а то я вас, мужиков не знаю! Только зайдем в лес, так где-нибудь меня к дереву прижмете… 
— Да вы что, женщина? Видите, сколько у меня живности в руках? Как я смогу? 
— Да очень просто! Гусей накроете ведром, а сверху —наковальню. 
— А кур я куда дену? 
— ... Ну хорошо, кур я могу подержать."
171,"​​Приходит дамочка к врачу-сексологу и жалуется, что муж охладел... 
Врач и говорит: 
- Вот вам таблеточки новейшие, экспериментальные... Даже испытания еще до конца не прошли... Две штучки дадите - потом расскажете, как сработало... 
Прибегает дамочка через два дня: 
- Доктор, это чудо! Помогло! Как принял - через двадцать минут сразу два раза, потом еще трижды вечером, ночью два раза просыпался, утром перед работой, в обед - даже поесть не успел, с работы пришел - сразу разок, потом перекусил чуть-чуть и перед смертью еще дважды!
--------
​​Бал в офицерском собрании. Некий корнет подходит к поручику 
Ржевскому: 
- Господин поручик - вы, говорят, большой специалист в этих делах. Скажите, вон та дама в рот берет? 
- Которая? - переспрашивает Ржевский. 
- Вон та, в желтом платье. 
- Ну, я со спины сказать не могу, - пожимает плечами поручик. 
В этот момент дама поворачивается, поручик Ржевский пристально 
смотрит ей в лицо и говорит: 
- Эта - берет. 
Корнет подходит к даме, они о чем-то беседуют и удаляются. Через некоторое время корнет возвращается, довольный: 
- Действительно, берет! Но как вы определили, поручик?! 
- Послушайте, корнет, - веско произносит поручик Ржевский, - РОТ ЕСТЬ - ЗНАЧИТ БЕРЕТ !"
172,"Все эти куклы Барби не учат девочек ничему реальному. Как у девушки могут быть эти дома, шмотки и машины, когда у нее не сгибаются колени и не открывается рот?
--------
Две подруги. Одна: 
— Мой то, ну прям ceкс — машина! 
— А мой — ceкс-мопед! 
— Как это? 
— Два такта и впрыск!!"
173,"Подруга спрашивает: 
— Интересно, а твой муж помнит дату вашей свадьбы? 
— К счастью, нет. 
— А почему ""к счастью""? 
— Я напоминаю ему об этом несколько раз в году, и каждый раз получаю подарки.
--------
Страстные женщины хороши - до безобразия! 
А также - во время безобразия и после безобразия."
174,"Путина во время интервью спрашивают: 
— Как вы относитесь к лозунгу «Можем повторить! » 
— Я считаю, что он должен висеть в каждом российском баре.
--------
Штирлиц уже три месяца слал в Центр одну и ту же шифровку: 4207 1801 2275 4408 6872 4589 5533 7928 3473 5600 1956 7639 Но тщетно: ни на одну из этих кредитных карт не поступало ни копейки зарплаты."
175,"— Вот говорят: зло порождает зло. Что это значит? 
— Ну вот, к примеру, у моей тещи родилась моя жена. .
--------
Песков: 
- Как нам сделать определенные правки в Конституцию, но избежать митингов с большим количеством человек? 
Путин: 
- Элементарно: коронавирус!"
176,"Что-то церковь отстает от жизни — ни тебе Ход против падения нефти устроить, ни Сбор пожертвований на укрепление рубля!
--------
Население, которому разрешили собирать валежник и охотиться с луком, срать хотело на цену барреля и индекс Доу Джонса."
177,"Думаете, это ему срок добавили? Нет, это вам срок добавили!
--------
— Привет! 
— Да. 
— Надо говорить: ""Привет"", а не: ""Да"". Ты - дома? 
— Привет."
178,"Если завтра Путин объявит преемником хорька, майонез или плоскогубцы, «за» проголосует не менее 65% населения.
--------
Почему скручивать пробег на тачке — незаконно и аморально, а скручивать пробег на президенте — законно и всеми приветствуется?"
179,"У нас коррумпированные чиновники смотрят в камеру, а надо, чтобы они смотрели из камеры.
--------
В 2024 году в бюллетене на выборах президента РФ будет два кандидата: 
1. В.В. Путин сроком на 6 лет 
2. В.В. Путин сроком на 12 лет"
180,"Невозможно начать с чистого листа, если перед этим ты подтер им ж@пу.
--------
""Царь велел себя раздеть, два разА перекрестился, в прорубь — бух! И обнулился!"" 
(""Конек-горбунок"", наше время)."
181,"Приходит грузин к врачу - 
(Г) Слушай дорогой отреж мне чл@н. 
Врач- Что случилось? 
(Г) Иду вчера по улице на встречу русский белий женщина у меня встал, торчит не удобно было. 
(В) Привяжи к ноге. 
Проходит пару дней тот опять приходит и говорит - Отрезай. 
(В) Что случилось? 
(Г) Иду вчера по улице на встречу русский белий женщина у меня встал на одной ноге целый час прыгал. 
(В) Ну привяжи к обоим ногам. 
Через пару дней опять приходит. 
(Г) Отрезай. 
(В) Что случилось? 
(Г) Иду вчера по улице на встречу русский белий женщина у меня встал я упал ноги к верху, а она ко мне подходит и спрашивает 
- Мужчина вам плохо? 
- А я ей, отойди ссука ноги вырвет.
--------
– А знаешь, ты ведь у меня - первый. 
– Что, правда? 
– Ну, после обнуления..."
182,"Батя с дружками играет в покер. На столе огромная куча денег. Подбегает 4-летний сын и заглядывает в карты: 
- Пап, а 4 туза - это хорошо? 
Батя сквозь зубы: 
- Да. Хорошо. 
Все сразу идут в пас, батя забирает деньги, после чего сынуля выпалил: 
- Жаль, что у тебя их не было.
--------
Студент сдает экзамен, а препод его валит... 
- Hу хорошо, - говорит препод, - если отвечаешь на этот вопрос - то cдал... Сколько в этой аудитории лампочек? 
Студет, быстро считая: 
- Девять! 
Препод, доставая из кармана лампочку: 
- Hеправильно! Лампочек десять. Придется тебе пересдавать... 
Пересдача, та же ситуация... Препод задает тот же вопрос... 
Студент (не задумываясь): 
- Десять. 
Препод с ехидной улыбкой: 
- Hет, неправильно, я сегодня лампочку не взял... 
Студент вытаскивает лампочку из кармана: 
- Зато я взял!"
183,"Папа с маленьким сыном отдыхают на юге. Сын случайно застает папу с соседкой, занимающихся любовью: 
— Пап, а что ты с тетей делаешь? 
— Это я ее накачиваю как матрас, чтобы она на море не утонула. 
— Фигня все это. Маму в прошлый раз один дядя из соседнего номера и спереди накачивал, и сзади накачивал, потом она ему 3 раза насос продувала.
--------
Поспорили дети в школе что на свете быстрее всего. Танечка говорит: 
— Самое быстрое слово- сказал, а уже не вершешь! Ванечка говорит: 
— Самый бистрый свет! Только вслючил, а он уже горит! Вовочка в ответ: 
— У меня тут понос был, так я ни слова не успел сказать, ни свет включить."
184,"— Хочу, как раньше... 
— Чтобы мы снова были вместе? 
— Нет, чтобы я о тебе даже и не знал...
--------
Позавчера все покупали тюльпаны, а надо было - доллары"
185,"— Это - секретный правительственный объект! 
— Я к маме на работу... 
— Проходи.
--------
— Привет, Серега, что-то тебя давно не видать... 
— А я сейчас в Эмиратах живу, устроился у местного шейха завгаром. 
— Представляю, какой у шейха автопарк. . 
— При чем тут автопарк? Я гаремом заведую."
186,"— Господин Президент, почему вы не поддержали инициативу государств-членов ОПЕК о снижении добычи нефти, это ведь обвалит ее стоимость и курс рубля заодно? 
— В своих посланиях национальному собранию я поставил задачу к 2020 году убрать зависимость экономики России от цены на нефть. 
— И эта задача была успешно выполнена? 
— Безусловно. Теперь мы можем регулировать дефицит в бюджете простым увеличением пенсионного возраста.
--------
— Кто вы такие? 
— Феминистки! 
— Чего вы добиваетесь? 
— Равенства! 
— Песчаный карьер — два человека!"
187,"— Будьте добры, бизнес-ланч: борщ, винегрет, пюре с котлетой, компот. 
— У нас сегодня - акция: к каждому бизнес-ланчу кастрюля говна бесплатно. Но г@вно нужно съесть обязательно перед ланчем... 
— Вы охренели?! Это, вообще, как называется?! 
— Голосование за поправки к Конституции...
--------
— Почем рубль? 
— Вам купить или продать? 
— Поржать"
188,"— Если ты - такой умный, то почему ты такой бедный? 
— Потому, что я - еще и честный.
--------
Генеральный директор сети магазинов ""Пятерочка"" обвинил людей со своими пакетами в сдерживании роста экономики."
189,"Из-за карантина Путину запретят покидать президентский пост.
--------
Лучшей поправкой в Конституцию была бы поправка о том, что исправлять Конституцию можно не чаще, чем раз в пятьдесят лет."
190,"Опять чиновники что-то напутали и не так доложили наверх! Россияне просили обнулить ипотеки!
--------
Заключенные Магаданской области попросили закрепить в Конституции обнуление и их сроков тоже."
191,"Одна подруга жалуется другой: 
- У меня муж алкоголик. Я уже так от него устала. Что мне делать? 
Та ей отвечает: 
- Да, у меня была такая проблема. Ты попробуй сделать так: когда муж пьяным придет и ляжет спать, ты ему в штаны положи змею. Он увидит ее, подумает, что началась белая горячка, и пить перестанет. 
Ну первая так и сделала. На следующее утро мужик просыпается, идет в туалет, достает из штанов змею, она ему: 
- Шшш-ш-ш-ш... 
Мужик: 
- Я тебе дам шшшш, ссы давай!!
--------
В космос летали Белка, Стрелка и Валька. Две собаки и одна с@ка."
192,"Приходит к доктору фермер. Доктор: 
— Слушаю Вас... 
— Да у меня все нормально доктор, вот только с женой проблема. Последнее время у нее депрессия, она плачет, раздражается часто... 
— А как давно у вас с женой был ceкс? 
— Вы знаете доктор, я даже и не помню, давно это было. У меня сейчас в поле и так куча дел, и совсем не до жены... 
— Ну как же так? Она же прежде всего женщина, ей необходимо ваше внимание! 
— Ну... а когда?! У меня совсем нет времени! 
— А у вас далеко поле от фермы находится? 
— Ну примерно в километре, а что? 
— Я вам посоветую сделать так. Когда в поле будите и захотите чтобы жена к Вам пришла, возьмите ружье, пальните с него в воздух, она услышит, придет к Вам, а там вы уже и... ну Вы меня понимаете... За одно и покушать принесет! Так что давайте! 
— Гениально доктор! 
Через 2 недели возвращается фермер к доктору. Весь в слезах, плачет... Доктор: 
— Ну что, помог Вам мой совет? 
— Да вы знаете, сначала все было нормально и жена была довольна... Но потом начался охотничий сезон и больше я ее не видел!
--------
В магазине мужик спрашивает у продавца: 
- У вас есть шапочка для плавания? 
- Нет. 
- А клюшка для хоккея? 
- Нет. 
- Ну, а лыжи есть? 
- Нет! И вообще это вино-водочный магазин... 
- Ну, дайте тогда бутылку водки, - и тихо про себя, - видит Бог, что я хотел спортом заняться..."
193,"Поймали индейцы англичанина, француза и русского. Собрался совет вождей, надумали порешить... 
Ну говорят: ""Вот вам ружье. Вон в небе сокол. Кто сокола собьет, тот жив останется"". 
Взял винчестер англичанин. Целился-целился, выстрелил — ни хрена не попал. ""Ну, что... последняя просьба"" — говорят. Попросил он стаканчик виски, и порешили его. 
Взял винчестер француз... Короче, тоже коньячку ему налили — и шлепнули. 
Взял винчестер русский. Поднял, поводил прицелом. Потом опускает и говорит: 
— А можно мне сразу последнее желание? 
— Дык чего уж там, все равно промахнешься. 
— Две бутылки водки ! 
Выпил он водочку... Вскинул винчестер. Не целясь — бабах ! И упал сокол... У индейцев челюсти попадали. 
— И как это ты попал так ? — спрашивают. 
— Дык вы что, мужики ! Из восьми стволов да по такой стае!
--------
Сельский клуб. Колхозники подтягиваются после тяжелой рабочей недели. Скамейки по периметру, по середине катушечный мафон из которого орет ""Руки Вверх"". Как всегда на 10 девчат 9 парней. Прошел час. 4 парня обожравшись самогона, вынесли друг друга из клуба и упали в лужу. Прошло два часа. Драка 2 на 2. Все в нокауте. Остается один мужик, тихо сидящий в углу. Девки пошушукались и самая смелая пошла к нему. 
— Здрасьте, а вы не местный? 
— Местный. 
— А чей та я вас не видела? 
— На зоне был. 
— Ой, а долго. 
— 15 лет. 
— А за что? 
— Жену разрубил, на куски разрезал, и в реку скинул. 
Девка возвращается к подругам и на ухо шепотом: 
— Тань, и не женатый!"
194,"Маленький мальчик по имени Жумабек жил в небольшой деревне. Он был настолько тупым, что никому не нравился. Особенно учительнице, которая всегда кричала на него: "" Ты сводишь меня с ума, Жумабек! "" Однажды мать Жумабека пришла в школу, чтобы проверить, как у него дела. Учительница честно сказала матери, что ее сын — это просто катастрофа, получает очень плохие оценки, и она еще не видела такого тупого ребенка за всю преподавательскую карьеру. Мать была в шоке, она забрала сына из школы, и они переехали в другую деревню. Двадцать лет спустя у учительницы диагностировали серьезное заболевание. Ей посоветовали операцию, которую во всей округе может сделать лишь один хирург. Проанализировав ситуацию и понимая, что у нее нет другого выхода, учительница согласилась на операцию, которая прошла успешно. Когда она открыла глаза после операции, то увидела симпатичного врача, который улыбался, глядя на нее. Она хотела поблагодарить его, но не могла говорить. Ее лицо начало синеть, учительница подняла руку, пытаясь ему что-то сказать, но умерла, так и не произнеся ни слова. Врач был в шоке. Когда он повернулся, то увидел Жумабека, работающего уборщиком в этой больнице, этот идиот отключил кислородный аппарат, чтобы подключить свой пылесос. А вы серьезно подумали, что Жумабек стал хирургом? .
--------
У женщины три любовника, происходит очень занятная групповушка, звонок в дверь, женщина: 
— Муж!!! 
И быстро, быстро прячет всех любовников. Одного в ванную, якобы чинит кран, второго на кухню, якобы чинит плиту, третьего, который поменьше ростом запихнула в доспехи средневекового рыцаря, которые стояли в коридоре, в качестве сувенира, для красоты. Зашел муж, жена рассказала ему историю о привратностях судьбы, истинной домохозяйки. 
Первый, продемонстрировал, как работает кран, получил сто рублей, ушел. 
Второй, продемонстрировал, как работает плита, получил сто рублей, ушел. 
В доме повисла тишина........, которую нарушила железная поступь, перед изумленными супругами предстал средневековый рыцарь, который приподняв забрало, вежливо — смущенным тоном спросил: 
— Извините пожалуйста, но вы не подскажите, тут случайно наши на Псков, не проходили???"
195,"Директор школы решил поприсутствовать на уроке у новой, только что из университета, учительницы английского. Сел в последнем ряду за один стол с Вовочкой. 
Учительница, волнуясь, уронила мел, наклонилась, подняла, и, дописав предложение на доске, спросила: ""Кто может перевести? "" Вовочка тянет руку: 
— Владимир! 
— Вот бы юбку покороче да засадить... 
— Что за чушь! Негодяй! Вон из класса! 
Вовочка собирает вещи, берет учебник — и директора по голове: 
— Не знаешь — нех@й подсказывать!
--------
Аптека. Огромная очередь. Вдруг вбегает взволнованный мужик, и начинает проталкиваться к прилавку с криками: 
— Люди! Расступитесь! Мне срочно нужно... У меня там человек лежит!!! 
Ему дают пройти. Мужик быстро подходит к кассе и говорит: 
— Пачку презервативов, пожалуйста."
